Nß lote;T°tulo;Autor;Editorial;A§o;P£blico;Idioma;P†ginas;Resumen_navarra;genero_fix;IA_Tags;Geografia_Autor;Genero_Principal_IA;Subgeneros_Limpios_IA
1133N;Isola;Goodman, Allegra;Summit Books;2025;Adulto;InglÇs;346;"In sixteenth-century France, as the heiress to an aristocratic fortune, Marguerite is destined for a life of privilege. Then she is orphaned, and her enigmatic and volatile guardian squanders her inheritance and insists she accompany him on an expedition to the new French colonies of North America. Isolated and afraid, Marguerite befriends her guardianís servant and the two develop an intense attraction. But when their relationship is discovered, they are brutally punished, abandoned on a small island with no hope for rescue.

From a childhood dressed in gowns with laced pearls in her hair, Marguerite finds herself at the mercy of nature. As the weather turns, blanketing the island in ice, she discovers a faith she had never before needed?

Inspired by the real life of a sixteenth-century heroine,ˇIsolaˇtells the timeless story of a woman fighting for survival.";femenino;novela hist¢rica, siglo XVI, colonizaci¢n francesa, supervivencia, NorteamÇrica;Europa, Francia - Colonias francesas en NorteamÇrica;Narrativa;Novela Hist¢rica, Aventuras, Social/Pol°tico
257C;Estoy contigo;Doerrfeld, Cori;Beascoa;2019;Infantil - 6 a§os;Castellano;233;"Una reflexi¢n universal y profundamente conmovedora sobre la tristeza y la empat°a. Cuando todo se vuelve patas arriba, Taylor no sabe a quiÇn recurrir. Los animales creen tener la soluci¢n perfecta. La gallina quiere hablar sobre el tema, pero a Taylor no le apetece charlar; el oso opina que Taylor deber°a enfadarse, pero esta tampoco parece la mejor opci¢n... Uno tras otro, todos los animales intentan decirle a Taylor c¢mo actuar, y uno detr†s de otro, todos fallan. Entonces llega el conejo y se sienta a escuchar en silencio. ≠Justo lo que Taylor necesitaba! Una historia inolvidable que sin duda consolar† corazones de todos los tama§os.";femenino;literatura infantil, emociones, empat°a, †lbum ilustrado, gesti¢n emocional;AmÇrica, Estados Unidos;Infantil;µlbum Ilustrado, Gesti¢n Emocional/Valores
256C;La mejor sopa del mundo;Isern, Susanna;OQO;2015;Infantil - 6 a§os;Castellano;27;En un lugar escondido del bosque, una peque§a caba§a ten°a la luz encendida. Por la chimenea sal°a humo: Tortuga estaba preparando su comida. Sorprendidos por una tormenta de nieve, varios animales se refugian en casa de Tortuga que, en ese momento, hab°a puesto agua a hervir para preparar una sopa. Ese maravilloso v°nculo que nos une a otras personas y nos permite compartir fabulosas experiencias y que, adem†s, nos hace crecer como personas. Un buen amigo es el que te ayuda, te acepta tal y como eres, el que sufre cuando tu sufres y, sobre todo, se alegra de lo bueno que te pasa. La amistad se basa en la confianza y si Çsta no existe, tampoco puede existir la autÇntica amistad. Los protagonistas de este libro aun no se conocen, pero van a llegar a ser grandes amigos, aunque ellos aun no lo sepan.;femenino;literatura infantil, valores, amistad, animales antropomorfos, convivencia;Europa, Espa§a;Infantil;Gesti¢n Emocional/Valores
255C;Gasteizko hondartzak;Montoia, Xabier;Susa;2010;Adulto;Euskera;325;Bada aldi bat edozein gizonen bizitzan, ume izateari utzi eta, oraindino gizon oso bilakatu ez dela, norantz doan ezjakin, arineketan abiatzen dena, helmuga bakarra heriotza duen lasterketan. (Urte latzak izan ziren haiek niretzat, eta ez gerragatik bakarrik). Hori gerora ikasten da, noski, askoz gerorago. Horretaz jabetu arte, hortxe iharduten dugu zoro moduan, beti aurrera egin guran, gizontasuna deritzan paradisura heltzeko irrikan. Eta lasterketa horretan, autoak bagina legez, sexua dugu erregai nagusia, hark bultzatzen gaitu, hark akuilatzen.;masculino;novela de formaci¢n, adolescencia, identidad vasca, introspecci¢n, sexualidad;Local;Narrativa;Novela de Aprendizaje (Bildungsroman), Psicol¢gico/÷ntimo
1140N;Nuestra Se§ora del Nilo;Mukasonga, Scholastique;Min£scula;2024;Adulto;Castellano;225;ÆNo hay mejor liceo que el liceo Nuestra Se§ora del Nilo. Tampoco lo hay m†s alto. A dos mil quinientos metros, anuncian orgullosamente los profesores blancos. Dos mil cuatrocientos noventa y tres, corrige sor Lydwine, la profesora de geograf°a.Ø En Ruanda, a principios de los a§os 1970 y bajo gobierno hutu, una cuota limita al diez por ciento la proporci¢n de tutsis que puede admitir el liceo Nuestra Se§ora del Nilo. Este centro educativo, aislado y de dif°cil acceso, es el que eligen las familias adineradas del pa°s para que sus hijas, lejos de las tentaciones de la capital, se formen como buenas esposas cristianas, preparadas para el matrimonio de conveniencia que les espera. Durante la interminable estaci¢n de las lluvias, la lucha de unas adolescentes por la amistad, el poder y la aceptaci¢n convierte el liceo en un microcosmos que refleja la creciente tensi¢n Çtnica y el clima de violencia que llevar†n al genocidio de los tutsis en 1994.ˇNuestra Se§ora del Nilo, premio Renaudot 2012, es una novela magn°fica y devastadora sobre un pa°s dividido y una sociedad que se precipita hacia el horror.;femenino;Ruanda, conflicto Çtnico, ficci¢n hist¢rica, educaci¢n femenina, genocidio.;µfrica, Ruanda - Regi¢n monta§osa;Narrativa;Novela Hist¢rica, Social/Pol°tico, Conflictos BÇlicos/Historia
1139N;Ante el dolor de los dem†s;Sontag, Susan;Debolsillo;2024;Adulto;Castellano;109;Veinticinco a§os despuÇs deˇSobre la fotograf°a, Susan Sontag regres¢ al estudio de la representaci¢n visual de la guerra y la violencia. ®C¢mo nos afecta el espect†culo del sufrimiento ajeno? ®Nos hemos acostumbrado a la crueldad? Para ello, la autora examina la serie de GoyaˇLos desastres de la guerra, las fotograf°as de la guerra civil estadounidense y de los campos de concentraci¢n nazis, y las horribles im†genes contempor†neas de Bosnia, Sierra Leona, Ruanda, Israel y Palestina, as° como de la ciudad de Nueva York el 11 de septiembre de 2001. EnˇAnte el dolor de los dem†s, Susan Sontag aporta una interesante reflexi¢n sobre c¢mo la guerra se lleva a cabo (y se entiende) en nuestros d°as;femenino;ensayo cr°tico, representaci¢n visual, guerra, fotograf°a, Çtica del sufrimiento;['AmÇrica, Estados Unidos - Nueva York', 'Europa, Bosnia', 'Europa, Alemania - Campos de concentraci¢n nazis', 'µfrica, Sierra Leona', 'µfrica, Ruanda', 'Asia, Israel y Palestina'];No Ficci¢n;Conflictos BÇlicos/Historia, Educaci¢n/Divulgaci¢n
1138N;Libre. El desaf°o de crecer en el fin de la historia;Ypi, Lea;Anagrama;2025;Adulto;Castellano;321;"Cuando era una ni§a, con apenas once a§os, Lea Ypi fue testigo del fin del mundo. Al menos del fin de un mundo. En 1990 el rÇgimen comunista de Albania, el £ltimo basti¢n del estalinismo en Europa, se desplom¢. Ella, adoctrinada en la escuela, no entend°a por quÇ se derribaban las estatuas de Stalin y Hoxha, pero con los monumentos cayeron tambiÇn los secretos y los silencios: se desvelaron los mecanismos de control de la poblaci¢n, los asesinatos de la polic°a secreta... El cambio de sistema pol°tico dio paso a la democracia, pero no todo fue color de rosa. La transici¢n hacia el liberalismo supuso la reestructuraci¢n de la econom°a, la pÇrdida masiva de empleos, la oleada migratoria hacia Italia, la corrupci¢n y la quiebra del pa°s. En el entorno familiar, ese per°odo trajo sorpresas inauditas para Lea: descubri¢ quÇ eran las ÆuniversidadesØ en las que supuestamente hab°an ÆestudiadoØ sus padres y por quÇ estos hablaban en clave o en susurros; supo que un antepasado hab°a formado parte de un gobierno anterior al comunismo y que a la familia le hab°an expropiado sus bienes.";femenino;memorias, Albania, transici¢n pol°tica, comunismo, infancia;Europa, Albania;No Ficci¢n;Biogr†fico/Memorias, Conflictos BÇlicos/Historia
1137N;La clase de griego;Kang, Han;Random House;2023;Adulto;Castellano;175;"En Se£l, una mujer asiste a clases de griego antiguo. Su profesor le pide que lea en voz alta pero ella permanece en silencio; ha perdido la capacidad del lenguaje, as° como a su madre y la custodia de un hijo de ocho a§os. Su £nica esperanza de recuperar el habla es mediante el aprendizaje de una lengua muerta. El profesor, que acaba de regresar a Corea despuÇs de pasar media vida en Alemania, se encuentra dividido entre dos culturas y dos lenguas. TambiÇn Çl afronta pÇrdidas: su vista empeora irreversiblemente a cada d°a que pasa, y convive con el miedo de saber que, cuando llegue la ceguera total, perder† toda autonom°a. Con una belleza inusitada, las voces °ntimas de estos dos protagonistas se intercalan y se cruzan en un momento de desesperaci¢n. ®Ser† posible que encuentren en el otro el modo de salvarse, que la oscuridad dÇ paso a la luz y el silencio a la palabra? La aclamada autora deˇLaˇvegetarianaˇindaga en la pÇrdida, la violencia y la fr†gil relaci¢n de nuestros sentidos con el mundo para brindarnos una carta de amor a la filosof°a, la literatura y el lenguaje, pero, sobre todo, a la esencia de la conexi¢n humana y de lo que significa sentirse vivo.";femenino;pÇrdida, lenguaje, identidad, Corea del Sur, duelo;Asia, Corea del Sur - Se£l;Narrativa;Psicol¢gico/÷ntimo, Social/Pol°tico
1136N;Baskervilletarren zakurra;Doyle, Arthur Conan  ;Hitz-Irule;2024;Adulto;Euskera;86;Baskervilletarren zakurra eleberrian Sherlock Holmesek arrazoizko gogoeta eta gogoeta logikoa erabiltzen du zakur ikaragarri bati sir Charles Baskerville hiltzea leporatzen dion aspaldiko kondaira baten sineskeriak gainditzeko.;masculino;novela detectivesca, Sherlock Holmes, racionalismo, Inglaterra victoriana, leyenda;Europa, Reino Unido - Devonshire;Narrativa;Novela Negra/Misterio, Cl†sicos, Tradici¢n Oral/Leyendas
1135N;Antolog°a poÇtica;Szymborska, Wislawa;Visor de Poes°a;2015;Adulto;Castellano;268;"ÆTodo est† en mis poemasØ, respond°a Wislawa Szymborska (1923-2012) cuando le solicitaban hablar de s° misma y de su obra.ˇ
Siguiendo sus consejos presentamos el mundo de la gran poetisa a travÇs de sus poemas. La presente selecci¢n responde a muchas preguntas que hubiÇramos podido plantear a Wislawa. Realmente, todo est† en sus poemas: sus recuerdos, sus normas morales, su condici¢n de mujer, sus amores humanos y animales, sus respuestas a preguntas sin respuestas, su visi¢n del mundo. Todo ello expresado en un estilo inimitable, ligero y sencillo, sobrio, exento de palabras grandilocuentes y pomposidades, filigranado. ÆLa poes°a se salva por los peque§os detallesØ, dijo Szymborska. Busquemos pues estos peque§os detalles que hacen que su poes°a nos cautive. Les invitamos a la lectura de la obra de la Gran Dama de la poes°a universal, premio Nobel de Literatura en 1996. En espa§ol, Æun lat°n bellamente estropeadoØ, como dijo Szymborska.";femenino;poes°a polaca contempor†nea, Nobel de Literatura, l°rica existencial, observaci¢n cotidiana, selecci¢n tem†tica;Europa, Polonia;Poes°a;
1134N;James;Everett, Percival;De Conatus;2025;Adulto;Castellano;337;James es un libro fascinante. Una reescritura de Las aventuras de Huckleberry Finn de Mark Twain desde el punto de vista de Jim, el esclavo. Con el humor ti?pico de Percival Everett y una inteligencia sobrecogedora, el lector vive una gran aventura, la de la libertad. James es el nombre de la dignidad. El esclavo ha visitado de forma clandestina la biblioteca de su amo y ha aprendido a leer y escribir. Cuando se entera de que lo han vendido y lo van a separar de su mujer y su hija decide escaparse. En esa aventura trepidante lo acompan?a Huck. Los dos se convierten en una pareja de personajes que se necesitan mutuamente no so?lo para sobrevivir, tambie?n para conocerse y saber cua?l es su verdadera conexio?n. El lenguaje es fundamental en este libro de lectura trepidante construido casi enteramente en dia?logos inteligentes. Las cri?ticas han sido excepcionales en todos los grandes medios de comunicacio?n de Estados Unidos y Reino Unido. Considerada de forma generalizada como una obra de arte ha encumbrado a Percival Everett en la cima de los autores literarios contempora?neos de su pai?s. Una fascinante y conmovedora lectura para todas las edades.;masculino;reescritura literaria, esclavitud en EE.UU., narrativa afroamericana, siglo XIX, di†logos;AmÇrica, Estados Unidos - Sur, r°o Misisipi;Narrativa;Novela Hist¢rica, Aventuras, Social/Pol°tico
1132N;Vera;von Arnim, Elizabeth ;Trotalibros;2021;Adulto;Castellano;327;"La joven e inocente Lucy Entwhistle acaba de perder a su padre ?hasta el momento, su £nica compa§°a? cuando conoce por casualidad al viudo Everard Wemyss. Maduro, atento y caballeroso, Wemyss la protege y la gu°a como sol°a hacerlo su padre. Cuando pasados unos d°as le pide matrimonio, Lucy, confundida y desamparada, acepta. Sin embargo, una sombra creciente empa§a su felicidad: el fantasma de Vera, la primera esposa de Wemyss, que falleci¢ en extra§as circunstancias.
Inspirado en la propia experiencia de la autora y publicado an¢nimamente en 1921, este cl†sico del suspense psicol¢gico, indiscutible precedente de Rebecca, de Daphne du Maurier, explora el lado m†s inquietante y tenebroso del matrimonio.";femenino;suspense psicol¢gico, relaciones de poder, matrimonio, Inglaterra eduardiana, manipulaci¢n emocional;Europa, Reino Unido;Narrativa;Novela Negra/Misterio, Psicol¢gico/÷ntimo, Cl†sicos
1131N;La casa del poeta : versos para quedarse a vivir;Berasategui, Carmen;Trampa ;2021;Adulto;Castellano;211;"Ciento once poetas de nuestro pa°s, desde todos los rincones de la geograf°a nacional, habitan el tejado, los cimientos, las puertas y las ventanas de la presente antolog°a. A travÇs del verso y de las im†genes, los poetas nos hablan de sus casas, de sus refugios para escribir, para crear, para amar, para llorar, para vivir. Este libro es un homenaje vivido. Es tambiÇn un poderoso patrimonio y un atlas sentimental y art°stico de la casa, de nuestra casa, de cualquier casa: la proyecci¢n, el sue§o, el recuerdo, el hogar, lo °ntimo, su
silueta presentada por m†s de un centenar de poetas. ÆSi abrimos nuestra casa, abrimos nuestros brazos, y nuestra mismidad as° ofrecida alumbrar† una otredad reconocible y compartida.Ø Entren, la puerta est† abierta? enˇLa casa del poeta: Abelardo Linares ˙ Ada Salas ˙ Aida Gonz†lez Rossi ˙ Alba Cid ˙ Alberto Conejero ˙ Alberto Santamar°a ˙ Ale Oseguera ˙ Alejandro Palomas ˙ Alejandro Sim¢n Partal ˙ Alexis D°az Pimienta ˙ Alfonso Brezmes ˙ Alicia Garc°a N£§ez ˙ Almudena Guzm†n ˙ Amalia Bautista ˙ Amalia Iglesias Serna ˙ Ana Castro ˙ Ana Gorr°aˇ˙ Ana Merino ˙ Ana PÇrez Ca§amares ˙ Ana Rossettiˇ ...etc.";;poes°a espa§ola contempor†nea, antolog°a, espacio domÇstico, identidad, creaci¢n colectiva;Europa, Espa§a;Poes°a;
1130N;La higuera de las gitanas;CortÇs, Noelia;En el Mar;2022;Adulto;Castellano;125;La higuera de las gitanasˇes un ensayo intimista sobre literatura y feminismo desde los ojos de una mujer gitana: ®por quÇ no hay m†s mujeres gitanas entre las grandes escritoras de la historia? ®Por quÇ la mala representaci¢n del pueblo gitano en la cultura es tan da§ina? Inspirado en la higuera de los posibles futuros de Sylvia Plath, no est† escrito con la potestad que otorga un t°tulo universitario acorde al an†lisis, sino desde la v°scera de quien vive lo que est† contando, en un alegato contra el academicismo que lanza cacahuetes a una jaula. Con una mezcla de lenguaje poÇtico y datos reales, busca crear un v°nculo humano entre la mirada del lector y la de la narradora, acercando as° la mirada com£n a una perspectiva m†s justa sobre la historia del pueblo gitano.;femenino;ensayo feminista, identidad gitana, cr°tica cultural, representaci¢n literaria, no ficci¢n;Europa, Espa§a;No Ficci¢n;Feminismo/LGTBIQ+, Biogr†fico/Memorias, Social/Pol°tico
